platform_source,media_channel,plan_section,creative,impressions_ordered,campaign_start_date,campaign_end_date,budget
Google YouTube,Youtube Nonskip Video Ads,Geo-Target College Campus,:15 New Day,,2025-10-28,2025-11-04,
Google YouTube,Youtube SHORTS,Geo-Target College Campus,:15 New Day,,2025-10-28,2025-11-04,
Google YouTube,Youtube Skippable,Geo-Target College Campus,:15 New Day,,2025-10-28,2025-11-04,
Magnite,Premium CTV,1:1 Voter File Match,:15 VOTE,,2025-10-28,2025-11-04,
Magnite,Premium CTV,1:1 Voter File Match,:30 VOTE,,2025-10-28,2025-11-04,
Jamloop,Premium CTV,1:1 Voter File Match,:15 VOTE,,2025-10-28,2025-11-04,
Jamloop,Premium CTV,1:1 Voter File Match,:30 VOTE,,2025-10-28,2025-11-04,
Jamloop,Premium CTV,Geo-Target College Campus,:15 New Day,,2025-10-28,2025-11-04,
